ORIG_PRODUCT_DESCRIPTION,PRICE,Num_of_Items
Black Cherry,0.1,170
Mn Apples,0.0,170
Sm Rnbw Wtr,1.49,170
Sm Bday Ck S,3.49,169
Lg Cup Water,0.3,168
Mn OreoDkCh,3.49,167
79c FrznLemo,0.79,166
Sm Nerd Grp,1.49,164
1/2$ Burg,-2.2,163
BcChzPretzDo,-0.57,163
Sm Frz Frt L,1.59,163
BOGO CB,0.0,162
Med Frozen T,2.59,162
Mini ChzCk S,2.49,162
Pmpkn Pie,0.3,161
Med Heath Bl,4.29,160
Mini Pnapple,1.99,160
1/2 FtConey,-1.9,158
Chk Snd Cmb,-0.18,158
Hazelnut,0.1,158
Lg Trip Choc,5.79,158
Wp Pop Chk C,3.89,158
Lg Powade Sl,2.69,157
Mini StwBan,2.49,157
Bday Cake Wa,2.99,156
Drink Carrie,0.0,156
Lg SnckrCrml,6.09,156
Mini CocCPie,2.49,156
Sm Sprite Ze,1.19,156
Stw Lime,0.1,155
Lg Fresh Frt,2.69,152
Lg Rnbw Grp,3.19,152
No Salt,0.0,152
.50 Corn Dog,0.0,151
Lg Frozen Te,2.99,151
Lg ReesesBan,6.09,151
Med Rasp Slu,2.09,151
Grl Chk Wrap,4.99,149
Heath,0.4,149
Lg Megatron,2.69,149
Sm CustConcr,4.29,149
$1 RCC Dog,0.0,147
Mini Frz Lem,1.49,147
Rt Frozen Te,3.19,147
Rt Opt Prime,2.99,147
Sm Rnbw Grp,1.49,146
Lg Malt,4.49,145
Turtle Pecan,0.5,145
Chk Nugget12,-0.68,144
Rt Sonic Spl,2.69,143
Rt Jolly GrA,3.39,142
LIL CZYBACN,1.49,141
Med Pine Up,4.79,141
Lg Peach Slu,2.59,140
Med Banana B,4.79,139
Sm PopGrape,1.49,138
Sm Wtrmln Cr,2.99,138
Lg Bumble Be,2.69,137
Med Crml Mal,3.89,137
Mini Choc Ma,1.99,137
50% Slush,0.0,136
Mini Powerad,1.0,136
Sm Malt,2.89,136
Med Banana M,3.89,135
Sm Chz Fries,1.79,135
Ched R Peps,3.69,134
Cr Chk Mont,5.49,134
Wp Popcorn C,3.89,134
Asi Crsp Clb,-0.29,133
LIL Baj C Do,1.49,132
BW Isl Fire,16.99,131
Dt Stw,0.1,130
Mini Crm Sl,1.89,130
Oreo Cake Wa,2.99,130
Rt Rnbw GrA,3.39,130
Chry Limeade,0.1,129
LIL Chk RANC,1.49,129
Sm Cran Lime,1.19,129
Mn SnckrCrml,3.49,128
No Mustard,0.0,128
Ult Fiery Ch,4.89,128
Mini PB CDgh,3.19,127
Mini Stw Crm,1.99,126
LIL LdCc Dog,1.49,124
Med HotFudg,3.89,124
BW PinapHab,17.79,122
Rt Rnbw Chy,3.39,122
BW Chk 6 Cmb,0.0,121
PanCake on S,1.99,121
.99 Hot Dog,0.0,120
Lg Sonic Spl,2.39,120
Sm Bumble Be,1.49,120
Ch Chz Tots,1.3,119
Lg Pop BlCoc,3.19,119
FTCn/TT3.99,0.0,118
BW Chk Wng 2,17.79,117
Ult Dnk Chk,6.49,117
Lg Blast,5.29,116
Mn HeathVan,3.49,116
Rt Nerd Wtr,3.39,116
Toast,1.0,116
1/2 Gar Parm,0.0,115
50% Blast,0.0,115
Praline Peca,0.1,115
Pom Hibiscus,0.0,112
Sm Coke Zero,1.19,112
Sm StwShCk S,3.49,112
Med Choc Ban,4.09,111
Med GrnAp Cr,3.89,111
Chili DblChz,2.99,110
Mini Car Brw,3.19,110
Mn ReesesBan,3.49,110
79c Frzn Lim,0.79,109
Lg Bday Ck S,4.99,108
Side Cherry,0.5,108
Sm Pop BlCoc,1.49,108
Mini Rainbow,1.19,107
Rt Nerd GrA,3.39,107
Crsp Chk Wra,4.99,106
Med Blnd Flo,3.09,106
Med FrzTeaPo,2.09,106
Rt Rainbow S,3.29,105
Sm Heath Bl,3.59,105
10% Discount,-0.18,104
BW GarParm6,-0.28,104
Lg Pop Grape,3.19,104
Dark Chocola,0.2,103
Lg HeathVan,6.09,103
Lg IceCoff C,2.99,103
Mn M&M Strw,3.49,103
Lg StwShtCk,4.99,102
Mn BtfngrPB,3.49,101
Sm Hot Fdge,2.99,101
"12"" ChzyBc D",3.99,100
BBQ Season,0.5,100
Lg BtfngrPB,6.09,100
Lg IceCoff P,2.99,99
Sm Mango Slu,1.19,99
Med ChocMnt,4.79,98
Rt Bkbry Slu,2.79,98
Salted Marga,0.3,98
Caramel Twis,0.2,97
GarParm Sauc,0.0,97
Med Mocha Ch,3.19,97
Pickle Spear,1.0,97
Tea Lemon,0.1,97
"12"" NY Dog C",-0.48,96
Fish Sand Cm,-1.08,96
Mini WdbyLav,2.49,96
Fm Chz Tots,4.59,95
Sm Banana Ma,2.99,95
Lg CookDgh C,6.09,94
Med Choc Brn,4.79,94
Mini PB Fdg,2.49,94
"12""ChcagoDog",-0.65,93
American,0.6,93
Med Bkbry Sl,2.09,92
Mini Oreo PB,2.49,92
Mini Unswt T,1.0,92
Rt Pop GrnA,3.39,92
Sm Oreo Cr S,3.49,92
1/2 Burg,-2.1,91
Sausage Patt,1.0,90
Asian Sauce,0.0,89
Med Nerd Org,2.59,89
Mocha,0.1,89
Spy Chk Strp,5.79,89
Lt Ranch,0.0,88
Lg Energy AM,2.49,87
Lg Mango Sl,2.59,87
Mint Oreo,0.2,87
Rt Mango Slu,2.79,87
Sm Megatron,1.49,87
BW FireChpo,9.19,86
Med Pnap Crm,3.79,86
Oreo PB,0.5,86
Med ChocCPie,4.09,84
Mozz Sticks,3.39,84
No Ketchup,0.0,84
Rt Peach Slu,2.79,84
Sm Banana Bo,3.99,84
DblStuff Fun,0.5,83
Med LmnbryCr,3.89,83
Mini Chry Cr,1.99,83
PC Mayo,0.0,83
Total $ Disc,-0.02,83
"12"" Dog Bun",0.0,82
BOGO Ft Cny,0.0,82
Free ChryLim,-1.99,82
Ult Fiery CB,-0.53,82
GarParmSeaso,0.5,81
Med Engy Bry,2.29,81
Chocolate Tw,0.2,80
Mini Oran Cr,1.99,80
Dt Chry Lime,1.19,79
Lg Oreo Cr S,4.99,79
Toffee,0.1,79
LIL BQCK,1.49,78
AsiagoGrlClb,-0.37,77
Mini Nerd BR,2.29,77
Sm Tea,1.19,77
2oz Patty,1.0,76
Lg Peach Sl,2.59,76
Mini Rnbw BR,1.49,76
Lg Blended F,4.29,75
Mini Brn Bls,3.19,75
Mini Opt Pri,1.29,75
Sm Dt Limead,1.19,75
Med Lime Crm,3.89,74
Mini Boubon,2.49,74
Sm Fresh Frt,1.29,74
Med MangoCrm,3.79,73
Med Stw CPie,4.09,73
Rt Cup Water,0.4,73
Rt Rasp Slus,2.79,73
Sm Java Chil,2.69,73
Dbl Stuff Or,0.2,72
Med Choc Stw,4.09,72
Med Rasp Tea,1.89,72
Mini Limeade,0.99,72
Mini Trip Ch,3.19,72
Mn CustConcr,3.49,72
Sm Caramel C,2.69,72
Sm Pine Up B,3.99,72
50% CrmSlush,0.0,71
Lg Hot Fdge,4.59,71
Rt Pop BlCoc,3.39,71
Side Sausage,1.0,70
Sm Oreo Ck S,3.49,70
SrirachaSeas,0.5,70
HotHoney Sau,0.0,69
Lil Family C,-0.36,69
Md IceCoff P,2.49,69
Md PmpknPie,5.09,69
Med PB Cook,4.09,69
Asiago,0.6,68
Energy,0.5,68
FTCn/TT2.99,0.0,68
Lg Crml Malt,4.59,68
Lg Engy BryB,2.49,68
Mini Van Mal,1.99,68
Lg MangoCrm,4.49,67
Lg Rasp Slus,2.59,67
Mn CookDgh C,3.49,67
PC Picante,0.0,67
BW SwtSesame,17.79,66
Lg Banana Ma,4.59,66
Med FrzTBlck,2.59,66
Mini Dt Dr P,1.0,66
Mini PB Snic,3.19,66
Sm Choc Brn,3.99,66
Lg FrzTea Po,2.59,65
Lg M&M Strw,6.09,65
Lg SwtCrm So,2.79,65
Sm Nerd Org,1.49,65
10am.99JrBur,-0.3,64
Med Pnapple,3.89,64
Mini Mt Blas,0.99,64
Stw Ban,0.5,64
Super Peach,0.1,64
Med FrzTea S,2.59,63
Mini Float,2.09,63
Mini Heath B,2.89,63
Rt Nerd GrP,3.39,63
Make Sweet,0.0,62
Med StrawPie,4.79,62
Wildberry,0.1,62
1/2 HotHoney,0.0,61
1/2OFF CB,0.0,61
Free Fry/Tot,-1.89,61
BEC French T,3.99,60
Med SwtCrm S,2.19,60
Mini Blast,2.89,60
Lg FrzT Blck,2.99,59
Med PB Ban S,4.09,59
Rt Megatron,2.99,59
Wp Chk Nug,0.0,59
Wp Chk Nug C,4.29,59
Rt Rnbw Wtr,3.39,58
Tortilla,0.0,58
Med ChocMint,4.09,57
Side Bacon,0.6,57
Sm Crml Malt,2.99,57
Sm Peach Slu,1.19,57
$5ChkDn+Dr,-0.66,56
BW Asian (24,17.79,56
Hd Poppy Bun,0.6,56
Lg CustConcr,6.09,56
Med Energy A,2.29,56
Mini Nerd Ch,1.49,56
Med ChryCrm,2.29,55
Mini BToffee,2.49,55
Open Food,0.01,55
Sm GrnAp Crm,2.99,55
Dt Lime,0.1,54
Lg Stw Lime,2.69,54
SEC French T,3.99,54
Lg GrnA Crm,4.59,53
Med Rasp Sl,2.09,53
Mini VanBean,2.49,53
Tst/Lg Dr199,0.0,53
BOGO Chk Snd,0.0,52
Free Cone,0.0,52
Lg Java Chil,4.39,52
Rt Powade Sl,2.89,52
Caramel Brow,0.5,51
Lg Oreo Ck S,4.99,51
Med Lmn Crm,3.89,51
Mini Cok Dgh,1.99,51
Mini Cup Ice,0.1,51
Mini DrkChoc,2.49,51
Lg Lime Crm,4.59,50
Med DblOreo,4.79,50
Med GrChlChz,3.09,50
Med Hawaiian,1.89,50
Med Pecan Pi,4.79,50
Mini Frz Lim,1.49,50
Mini Jolly B,2.29,50
Sm Choc Ban,3.49,50
Sm ChocMnt B,3.99,50
Cheddar,0.6,49
Lg Caramel C,4.39,49
Med MintOreo,4.79,49
Mini Coke Ze,1.0,49
Mini Cup Wat,0.1,49
Sm Stw CPie,3.49,49
Chipotle Mar,0.3,48
Chk Club Tst,4.99,48
Extra Candy,0.5,48
HEC Br Cmb,-1.48,48
Mini BlCo Cr,1.99,48
Lg Choc Ban,4.59,47
Lg Pine Up B,5.79,47
Md OreoChoc,5.09,47
Mn Chz Tots,1.39,47
Unswt Tea,0.0,47
Lg Lmnbry Cr,4.59,46
On the Side,0.0,46
BW Buff 24 C,-0.18,45
BW HotHoney6,-0.28,45
Bac CC Cmb,-0.18,45
Lg Pnap Crm,4.49,45
BW GarParm12,0.0,44
Burrito .99,-1.5,44
Dt Coke,0.1,44
Lg Banana Bo,5.79,44
Lg Nerd Org,3.19,44
Med Cake Shk,4.09,44
Mini BluR Cr,1.99,44
Mini Jolly C,1.49,44
Rt Peach Sl,2.79,44
Rt Rnbw Grp,3.39,44
Wp FrnTst Cm,3.49,44
Mini Stw Mal,1.99,43
Mozz Stk .99,0.0,43
Sm Dt Green,1.19,43
Sm Iced Coff,1.99,43
Sm Rasp Slus,1.19,43
Sweet Tea,0.0,43
Med PeachCrm,3.79,42
PnapHab Sauc,0.0,42
Sm Choc Stw,3.49,42
Brioche,0.0,41
Brk Tst .99,0.0,41
Lg Slush .99,0.0,41
Mini Lmbr Fr,1.29,41
Sm Coffee,1.89,41
Sm PmpknPie,3.49,41
1/2 PnapHab,0.0,40
Burr & Drink,2.6,40
Lg Bkbry Slu,2.59,40
Rt Bumble Be,2.99,40
Crsp Chk Pat,1.59,39
Lg ChocMnt B,5.79,39
Lg Rasp Sl,2.59,39
Mini Bumble,1.29,39
Mini Pnap Fr,1.29,39
Coke Zero,0.1,38
Mini Dulce S,2.49,38
Sm Mango Sl,1.19,38
Spy Chk Dinn,6.59,38
BOGOConcrete,-3.49,37
Ch Chz Fries,1.1,37
Lg FrzTea St,2.99,37
Lg PeachCrm,4.49,37
Lg Stw CPie,4.99,37
Pnapp Blkber,0.1,37
Sm MangoCrm,2.99,37
Sm Pnap Crm,2.99,37
Wp Frn Tst,3.49,37
Chz Tots,0.6,36
Gr Chk Patty,2.0,36
Lg PB Cookie,4.99,36
Sm Mocha Chi,2.69,36
Sm Sonic Spl,1.09,36
Ld BacRan Cm,-0.68,35
Lg ChryCrm S,2.89,35
Lg Lmn Crm S,4.59,35
Med Van Crm,2.29,35
Med FrzClubH,2.59,34
Rt Engy BryB,3.19,34
Sm IceCoff F,1.99,34
10am LgEnrgy,-1.0,33
BOGO HD,0.0,33
Med CrmlCoco,4.79,33
Mini Frsh Fr,0.99,33
Mini Lmn Frt,1.29,33
Rt SunBerry,2.79,33
Sm Cran,1.79,33
Sm Rnbw Org,1.49,33
Wp Toy w/o P,1.0,33
Lg Pnapple M,4.59,32
Lg Van Crm S,2.89,32
Maple Syrup,0.0,32
Med Sp Pop C,3.99,32
Mini Bday Ck,2.49,32
Mini Rnbw Gr,1.49,32
Pretz Dog Cm,-1.58,32
Rt Bkbry Sl,2.79,32
Rt FrzTea Po,2.79,32
BW HtHoney12,-0.23,31
Lg Rasp Tea,2.49,31
Med ChryChCk,4.09,31
Mini Cran Sl,1.0,31
Mini Lime Fr,1.29,31
Sm Blended F,2.59,31
Sm Frozen Te,1.59,31
Sm Lmnbry Cr,2.99,31
Sm PB Ban Sh,3.49,31
Spy Chk Din,-0.33,31
WP .99,0.0,31
Dt Dr Pepper,0.1,30
Green Tea,0.0,30
Med BkbryCrm,3.79,30
Mini Pop GrA,1.49,30
Pretzel Bun,0.5,30
Sm PeachCrm,2.99,30
Triple Choco,0.5,30
Ult Dnk BBQ,-0.3,30
Lg Choc Stw,4.99,29
Lg PmpknPie,4.99,29
Med Pine BkB,1.89,29
Med Rnbw Org,2.59,29
Med SltCarPr,4.79,29
Sm Lime Crm,2.99,29
Sm Mozz .99,-1.8,29
Sprite Zero,0.1,29
Ult Dnk Buff,-1.58,29
Vanilla Bean,0.2,29
Isl Brz,0.1,28
Lg Choc CPie,4.99,28
Lg FrzTea Wl,2.99,28
Lg Heath Bl,5.29,28
Med FrzTeaWl,2.59,28
Mini Rnbw Ch,1.49,28
Rt FrzT Blck,3.19,28
Rt PopGrape,3.39,28
Rt SwtCrm So,3.09,28
Sm Choc CPie,3.49,28
Sm OreoChoc,4.29,28
Lg Hawaiian,2.49,27
Lg RaspCrm S,4.49,27
Make Thin,0.0,27
Mini Cran Li,0.99,27
Mini Frz Chr,1.59,27
Mini Wtrm Cr,1.99,27
Crml Coconut,0.2,26
Lg Choc Brn,5.79,26
Lg GrChilChz,3.59,26
Mini Jol GrA,1.49,26
Rt FrzTea St,3.19,26
Rt Stw Lime,2.89,26
Salt,0.0,26
Side Toast,0.6,26
Sm DblOreo B,3.99,26
Sm MintOreo,3.99,26
Sm PB Cookie,3.49,26
.50 Cone,0.0,25
1/2 Haban Sa,0.0,25
10am LgSpark,-1.0,25
BOGO Toaster,0.0,25
BlackPepperM,0.0,25
Cpn $1,-0.39,25
Lg Pine BkBr,2.49,25
Med StwCrm S,2.29,25
Sm Cake Shk,3.49,25
Sm StrawPie,3.99,25
1/2 IslFir S,0.0,24
Med SunBerry,1.89,24
Mini OreoCar,2.49,24
Rt Rasp Sl,2.79,24
Sm Lmn Crm S,2.99,24
BOGO Shake,0.0,23
Haban Heat S,0.0,23
Lg Bkbry Sl,2.59,23
Lg Mocha Chi,4.39,23
Lg SunBerry,2.29,23
Med Frz BC L,2.59,23
Mini Dt Chry,0.99,23
Mini Frz Frt,1.59,23
PC Salt,0.0,23
Rt Mango Sl,2.79,23
Brk Tst 1.99,0.0,22
Chocolate Mi,0.2,22
Med Nerd Crm,3.39,22
Mini Bana Bo,3.19,22
Mini HotFdg,1.99,22
Mini Malt,1.89,22
Oreo Caramel,0.5,22
Sm CrmlCoco,3.99,22
Baja,0.0,21
Lg ChryChzCk,4.99,21
Med PB Crm B,4.79,21
Med SltCarCh,4.79,21
Mini Megatro,1.29,21
Mini Pine Up,3.19,21
Oreo Cake,0.2,21
Pecan Pie,0.0,21
Rt FrzTea Wl,3.19,21
Sm Choc Mint,3.49,21
Sm Cup Water,0.1,21
Sm Pnapple M,2.99,21
Wildberry La,0.2,21
Choc Mint,0.5,20
Fiesta Sauce,0.0,20
Free Shake,-2.99,20
Gallon Unswe,4.99,20
Lg  PB Ban S,4.99,20
Pepper,0.0,20
Rt Iced Coff,3.99,20
Rt Rasp Tea,2.79,20
Sm Pecan Pie,3.99,20
2 CD/.99,0.0,19
BW PnapHab12,-1.58,19
Buttered Tof,0.2,19
Gr Chk Mont,5.69,19
Lg Blkbry Sp,2.49,19
Med Cran Crm,3.79,19
Med RaspCrm,3.79,19
Mini ChocMnt,3.19,19
Mini Nerd Wt,1.19,19
Spy Chk (4),-2.28,19
Coffee Crml,0.1,18
Lg Frz BC Le,2.99,18
Mini Nerd Or,2.59,18
Mini Oreo Ck,2.49,18
PC Syrup,0.0,18
Rt Nerd Org,3.09,18
Sm Lem Pie S,3.49,18
1/2 Brk Br,0.0,17
BW IslFire12,-1.78,17
Lg Energy Ze,2.49,17
Lg FrzClubHs,2.99,17
Lg MintOreo,5.79,17
Mini ChocBan,2.49,17
Mini Green T,1.0,17
Mini Nerd Gr,1.49,17
Mini PopGrap,1.49,17
Mini StwShCk,2.49,17
Sm Dt Stw Li,1.19,17
Sm Peach Sl,1.19,17
Sm Stw Lime,1.29,17
2 CrnDog .99,-1.99,16
BW Chk Wng (,13.49,16
BW PnapHab6,-0.38,16
Chk Strip,1.0,16
Croissant,0.0,16
Crsp Chk Wrp,-1.28,16
Lt Mayo,0.0,16
Med CF Dt Co,1.89,16
Med PBCar Pi,4.09,16
Mini Crml Ma,1.99,16
Mn OreoChoc,3.49,16
Sm Bkbry Slu,1.19,16
Sm Engy BryB,1.89,16
1.99 Wacky P,1.99,15
BOGO SSCB,0.0,15
Chk Strp (5),0.0,15
Cran Lime,1.99,15
FREE LGDK,-0.6,15
Lg DblOreo B,5.79,15
Med FrzBcClb,2.59,15
Med JPC Sri,4.59,15
Mini Choc Br,3.19,15
Mini Fr Stw,1.59,15
Mini Nerds G,1.49,15
Rt ChryCrm S,3.19,15
Rt Energy AM,3.19,15
Rt Hawaiian,2.49,15
Sm ChocChzCk,3.49,15
Sm FrzTea Po,1.19,15
Sm IceCoff P,1.99,15
Sm Rasp Sl,1.19,15
"12""/Tots 249",0.0,14
Bourbon Brn,0.2,14
Isl Fire Sau,0.0,14
Lemon Pie,0.5,14
Lg BkbryCrm,4.49,14
Lg OreoChoc,6.09,14
Lg Pecan Pie,5.79,14
Med Energy Z,2.29,14
Mini Grp Crm,1.99,14
Mn Chz Fries,1.39,14
PC Honey Mus,0.0,14
Rt IceCoff C,3.99,14
Rt Van Crm S,3.19,14
Side Egg,1.0,14
Sm ChryChzCk,3.49,14
Sm IceCoff C,1.99,14
Sm RaspCrm S,2.99,14
1/2 Sweet Se,0.0,13
1oz Patty,0.5,13
"BOGO 6"" Cny",0.0,13
BOGO Burrito,0.0,13
BOGO Sundae,0.0,13
Ched Chz,0.99,13
Cny/Tot,3.99,13
Fire Chipotl,0.0,13
Gallon Sweet,4.99,13
Lg JPC Par,5.79,13
Lg PomHib Te,2.49,13
Lg StwCrm So,2.89,13
Med PomHib T,1.89,13
Med Sprite L,1.89,13
PC HoneyMust,0.0,13
PC Sugar,0.0,13
Side of HnyB,0.75,13
Sm SltCar Ch,3.99,13
Tartar Sauce,0.0,13
FREE LGPR,0.0,12
Free Sundae,0.0,12
Lg Choc Mint,4.99,12
Lg CrmlCoco,5.79,12
Lg Nerd Crm,4.39,12
Md IceCoff T,2.49,12
Med JPC Par,4.59,12
Med Lem Pie,4.09,12
Mini Mango S,0.99,12
Mini Shk .99,0.0,12
Rt BlkBrySpl,2.59,12
Rt Energy Ze,3.19,12
Rt Pine BkBr,2.59,12
Sm ChryCrm S,1.59,12
3 Cinna .99,-1.6,11
All Day HH,-0.95,11
BOGO Blast,0.0,11
FREE BBDRK,-4.88,11
Lg FrzBcClbT,2.99,11
Lg StrawPie,5.79,11
Lg Van Sl,2.69,11
Md Barqs Flo,3.19,11
Med ChocChCk,4.09,11
Med Pwrade C,3.79,11
Mini ChryLim,1.59,11
Mini Rasp Sl,0.99,11
Mini StrawPi,3.19,11
Rt ClubHouse,2.79,11
Side of Buff,0.75,11
BW Haban 12,-1.78,10
Burr & Coffe,3.0,10
Chz Fries,0.6,10
CornDog .99,0.0,10
Feed 2 Combo,-5.55,10
Habanero,0.0,10
Med PB Snckr,4.79,10
Mini ChocStw,2.49,10
Pepper Jack,0.6,10
Rt IceCoff F,3.99,10
Sm Hawaiian,1.19,10
Sweet Sesame,0.0,10
BW Chk 24 Cm,-1.78,9
Crm Herb Sau,0.25,9
Dulce De Lec,0.2,9
Free ORs,-2.49,9
Lg Barqs Flo,4.39,9
Lg ChocChzCk,4.99,9
Lg JPC BBQ,5.79,9
Lg LA .99,0.0,9
Lg Sp Pop Ch,5.19,9
Med DrkChcCh,4.79,9
Med SonicSun,1.79,9
Mini Peach S,0.99,9
Mini StwCPie,2.49,9
Mn PmpknPie,2.49,9
Shake .99,0.0,9
Sm Bkbry Sl,1.19,9
Sm SltCarPrz,3.99,9
Smoky Bac Ra,0.0,9
Ult Dnk GPar,-1.58,9
BOGO Croiss,0.0,8
BW Asian 24,-1.78,8
ChChz Pretz,2.69,8
Crois Dbl CH,-0.1,8
Fm Chz Fries,4.59,8
Lg ClubHouse,2.49,8
Lg IceCoff T,2.99,8
Lg SltCar Ch,5.79,8
Med BlkbrySp,1.89,8
Med ClubHous,1.89,8
Med Custard,0.0,8
Med Mango Li,1.89,8
Med Salt Car,3.79,8
Med Van Sl,2.19,8
Mini MintOre,3.19,8
PB Caramel P,0.5,8
Rt FrzClubHs,3.19,8
Wp Under 3 T,0.0,8
2.99 Brk Bun,2.99,7
BOGO Strw WC,0.0,7
BourbonBBQ S,0.0,7
HD 1.49,0.0,7
Icing,0.5,7
Lg BlckChry,2.49,7
Lg JPC Sri,5.79,7
Med GrpCrm S,2.29,7
Med NChy Crm,3.39,7
Med NWtM Crm,3.39,7
Med PBOreoPr,4.79,7
Med Rasp Crm,3.79,7
Mini ChcCPie,2.49,7
Mini Dt Lime,0.99,7
Mini M&M,0.0,7
Mini PBCook,2.49,7
Mini Pnapp M,1.99,7
Mini Rnbw Wt,1.49,7
Monterey Jac,0.6,7
Poppy 6 in,0.6,7
Sm Cran Crm,2.99,7
Sm Pine BkBr,1.19,7
Sm Sunberry,1.19,7
Sonic BOOM,0.1,7
Sour Blue Ra,0.1,7
Swiss,0.6,7
Wheat Bun,0.0,7
Brk Br 1.99,0.0,6
Dark Choc Pt,0.2,6
Lg CF Dt Cok,2.79,6
Lg Fanta Str,2.49,6
Lg Frz Wld L,2.99,6
Lg NChy Crm,4.39,6
Lg Pwrade Cr,4.49,6
Lg Sonic Ene,2.49,6
Md Slush .59,0.0,6
Med ChocOreo,4.79,6
Med Crml BP,4.09,6
Med Fanta St,1.89,6
Med NBR Crm,3.39,6
Mini MangoCr,1.99,6
Mini PB Ban,2.49,6
Mozz 1.49,0.0,6
PC SweetNLow,0.0,6
Rt Frz BC Le,3.19,6
Sm BkbryCrm,2.99,6
Sm GrChilChz,2.39,6
Sm Van Crm S,1.59,6
$1 WP,-1.0,5
Atomic Lemon,0.1,5
BW Haban 6 C,-0.38,5
Creamy Chipo,0.0,5
CrmSlush .99,0.0,5
Crois Hd Bun,0.0,5
Gallon Green,4.99,5
Jalapeno Sau,0.0,5
Lg GrpCrm So,2.89,5
Lg Mango Lim,2.19,5
Lg Org Crm S,2.89,5
Lg PBCar Pie,4.99,5
Lg Peach Rin,2.69,5
Lg Rasp Crm,4.49,5
Med Coke Lif,1.89,5
Med JPC BBQ,4.59,5
Mini ChcCzCk,2.49,5
Mini Dbl Ore,3.19,5
Mini Mocha C,2.39,5
Mini PeachCr,1.99,5
Mini Rnbw Or,1.49,5
PC Cream,0.0,5
PC Pepper,0.0,5
Rt StwCrm So,3.19,5
Salsa Verde,0.0,5
Sm FrzT Blck,1.59,5
Sm PB Crm Bl,3.99,5
Sm PBCar Pie,3.49,5
Sm PBOreoPrz,3.99,5
Sm Rasp Crm,2.99,5
Sm StwCrm So,1.59,5
BOGO Slush,0.0,4
BOGO WCS,0.0,4
BW SwtSesam1,-2.08,4
Brown Bag,1.19,4
Free RgBlast,0.0,4
JrBur .79,0.0,4
Lg Cran Crm,0.0,4
Lg JPC BBQ C,-1.78,4
Lg Lem Pie S,4.99,4
Lg Rnbw Org,3.19,4
Med Miami Sr,1.99,4
Med NGrP Crm,3.29,4
Med Org Crm,2.29,4
Med PBChpCls,4.79,4
Med Peach Rn,2.09,4
Med RChy Crm,3.39,4
Med Sonic En,2.29,4
Mini Blend F,2.09,4
Mini Lime Cr,1.99,4
Mini PecanPi,3.19,4
Mini Pnap Cr,1.99,4
Mini Rnbw Cr,2.39,4
Mini SltCarC,3.19,4
Mini Tea,0.99,4
Pineapple Cr,0.5,4
Rt IceCoff P,3.99,4
Rt Mango Lim,2.49,4
Rt PomHib Te,2.79,4
Rt Rnbw Org,3.39,4
SMPopCk 1.99,0.0,4
Sliced Chz,0.6,4
Sm ChocOreo,3.99,4
Sm DrkChocCh,3.99,4
Sm FrzClubHs,1.59,4
Sm SwtCrm So,1.49,4
Stw Brz,0.1,4
3Strp 1.49,0.0,3
BOGO BRK TST,0.0,3
BW FireChpo1,-2.08,3
BW SwtSesam,-0.48,3
Bac Chzburge,4.79,3
Berry Spicy,0.0,3
Brt Cmb 1.99,0.0,3
Cents Off,-0.2,3
Crois Mst Dg,-0.1,3
Dry,0.0,3
Free Crm Sl,0.0,3
Free WP,-3.48,3
FreeCof w/Br,0.0,3
FreeLg w/Brt,0.0,3
Gallon Dt Gr,4.99,3
Lg Crml BP S,4.99,3
Lg JPC Par C,-1.78,3
Lg JPC Sri C,-1.78,3
Lg Miami Sr,2.29,3
Lg NBR Crm S,4.29,3
Lg NGrA Crm,4.39,3
Lg PB Crm Bl,5.79,3
Lg Sundrop,2.49,3
Med BlCoCrm,2.29,3
Med BlckChry,1.89,3
Med Choc Sl,2.19,3
Med ChocHaz,4.09,3
Med CrmLemon,3.89,3
Med R BR Crm,3.39,3
Med StrwCrmL,3.79,3
Med Wldbrry,1.89,3
Mini BkbryCr,1.99,3
Mini Lem Pie,2.49,3
Mini Lmbr Cr,1.99,3
Mini Nerd Cr,0.99,3
Mini SwtCrm,1.29,3
Molt Ck Mint,4.29,3
Rt CF Dt Cok,2.79,3
Rt Org Crm S,3.19,3
SaltedCrml P,0.2,3
Slush .99,0.0,3
Sm Barqs Flo,2.69,3
Sm ClubHouse,1.19,3
Sm Energy AM,1.89,3
Sm FrzBcClbT,1.59,3
Sm FrzTea St,1.19,3
Sm Org Crm S,1.59,3
WP 2.49,0.0,3
Whole Banana,2.49,3
$1 Sundae,0.0,2
.99ChkStrSan,0.0,2
.99Min Blast,-1.9,2
2 CD/1.00,0.0,2
50% Float,0.0,2
"6"" HD",1.99,2
BOGO Bday Ck,0.0,2
BOGO CrSlush,0.0,2
BOGO Lil Dog,0.0,2
BOGO Prm Brt,0.0,2
BOGOBourbShk,0.0,2
BW HnyBBQ 24,-1.78,2
BW IslFire 6,-0.38,2
Banana Taffy,0.1,2
BrkCmb 2.99,-4.08,2
CCCny/TT2.99,0.0,2
CKSTDK 5.99,0.0,2
ChkDin&Drk,0.0,2
Choc Haz Cre,0.5,2
Crsp Chk Fri,1.0,2
Egg White,0.0,2
Frntst 1.29,0.0,2
Lg BlCoCrm S,2.89,2
Lg CrmLemon,4.59,2
Lg NGrp Crm,4.29,2
Lg PBChpClst,5.79,2
Lg Pin Col S,2.69,2
Lg SltCarPrz,0.0,2
Lg Van Frapp,0.0,2
Med Atm Lem,1.99,2
