ORIG_PRODUCT_DESCRIPTION,PRICE,Num_of_Items
Med Grape Sl,2.19,3220
Med Dt Dr Pe,1.89,3194
Waffle Cone,1.99,3192
Lg Frz Lemoa,2.89,3186
Med Banana S,3.89,3186
Sm Stw Frt S,1.29,3175
1/2 Chz Burg,-0.55,3157
Med StwChzCk,4.09,3142
Apples,1.69,3140
BW Asian (6),4.79,3138
Shredded Chz,0.6,3087
Med Fanta Or,1.89,3057
Nerds,0.4,3044
Sm Slush,1.09,2950
Bl Coco,0.1,2949
French Tst C,0.0,2936
Green Apple,0.1,2843
Choc Milk,0.99,2825
Sm Coke,1.19,2815
Sm BlueRsp S,1.19,2811
Med Powerade,1.89,2785
Rt Stw Frt S,2.89,2772
Sm Oreo Bl,3.59,2734
Med Reeses B,4.29,2694
Rt Dt Dr Pep,2.79,2683
Sm Chry Lime,1.19,2647
Lg Wtrmln Sl,2.69,2646
Med Grn App,2.19,2616
Lg Blue Rsp,2.69,2596
Root Beer,0.1,2564
Rt Slush,2.79,2546
Lg Limeade,2.79,2486
Mn Ched R Pe,1.59,2445
Asiago GrlCl,5.99,2442
Sm Ocean Wat,1.19,2410
Med Jolly BR,2.59,2393
Med Cup Ice,0.2,2381
$.99 CornDog,0.99,2357
Med Shake,3.79,2354
Hot Fudge,0.5,2319
Med OreoChCk,4.09,2305
BOGO Wings,0.0,2297
Sm Vanilla S,2.99,2291
Med Nerd BR,2.59,2280
Mini Sprite,1.0,2264
Sm Oreo Shk,3.49,2233
Jr Deluxe Bu,1.49,2190
HamEggChzTst,3.29,2186
Med Cook Dgh,4.79,2172
Burger,4.39,2157
Lg Coke Zero,2.49,2132
Chili,0.6,2108
Sm Sprite,1.19,2077
Mini Pop Chk,1.49,2075
HamEgg Chz C,3.29,2068
Lg Dt Chry L,2.79,2058
Rt Lemonade,3.49,2057
Rt Cherry Sl,2.89,2052
Mn Onion Rin,1.0,2039
Med PB Shk,3.89,2030
Hickory BBQ,0.0,2020
PC Marinara,0.0,2005
PB,0.5,1990
Fm Mozz Stic,7.59,1986
Med Jolly Ch,2.59,1978
Lemonade,1.79,1952
Lg Green Tea,2.49,1935
Med Snickers,4.29,1911
Lg Grape Sl,2.69,1907
Relish,0.0,1899
Med Frz Lime,2.59,1888
Reeses,0.5,1873
Med Rnbw BR,2.59,1871
Stw Sundae,2.19,1871
Sprite,0.1,1864
Med Coke Zer,1.89,1838
Egg,1.0,1833
Sausage,1.0,1833
Sm Wtrmln Sl,1.19,1830
SS Brkfst Br,0.0,1826
Med LmnbryFr,2.29,1821
Med Stw Crm,3.89,1809
Med Dt Chry,1.99,1800
RCC Cmb,0.0,1774
Med Nerd Chy,2.59,1768
Mngr Disc,-0.4,1764
Rt Limeade,2.99,1761
Mini HiC Pun,1.0,1756
Rt Dt Chry L,2.99,1744
Rt Tea,2.79,1741
Lg Bl Coco S,2.69,1737
Med Ban CPie,4.09,1735
Sm Reeses Bl,3.59,1720
Rt Sprite,2.79,1715
Dt Cherry,0.1,1711
Med ChzCk Sh,4.09,1691
Choc Brownie,0.5,1682
Orange,0.1,1680
Sm Stw ChzCk,3.49,1676
Lg Chz Tots,2.99,1669
Rt Coke Zero,2.79,1656
Sm Banana Sh,2.99,1648
Med CDgh Brn,4.79,1646
Jr Dlx Burg,1.79,1645
Honey Mustar,0.0,1637
Med Green Te,1.89,1628
Chk Nugget (,14.99,1624
Cookie Dough,1.0,1612
Med OreoChoc,4.09,1603
Sm Grape Sl,1.19,1596
Molt Ck Fudg,4.29,1584
BW Gar Parm,17.79,1574
Fiesta Stk B,3.59,1554
Crp AsiagoCb,5.79,1548
Med Stw Ban,4.09,1531
Crml,0.5,1528
Med Crml Shk,3.89,1527
Tots,0.0,1524
Lg LmnbryFrt,2.69,1517
Lg Tea,2.49,1509
Med Choc Mal,3.89,1509
Med Ban Splt,4.79,1498
1/2 & 1/2,0.0,1493
Med Hot Fudg,3.89,1478
Milk,0.99,1469
Nuts,0.5,1469
Med Nerds Sl,2.49,1467
Mini Cherry,2.59,1458
Med Frz Chry,2.59,1447
10am1.49 Sp,-0.7,1433
Med Pnapp Fr,2.29,1430
Sm Lemonade,1.69,1412
PC BBQ,0.0,1405
Ult Chk Club,6.99,1392
Lg Vanilla S,4.59,1388
Free Rt,-0.4,1381
Med CocoCPie,4.09,1373
Snickers,0.5,1365
Rt Frz Lemoa,3.19,1364
Mint,0.1,1361
Cny/Tot 3.99,3.99,1350
Mini Choc Sh,1.99,1349
Sm Cookie Dg,3.99,1348
Lg Frz Limea,2.99,1341
Lg Stw ChzCk,4.99,1331
HamEggChz Bu,2.69,1320
Med Oran Crm,3.89,1304
Rt Root Beer,2.79,1304
Mini Stw Shk,1.99,1303
Lg Grn App S,2.69,1292
SmChiliChz F,2.69,1286
Mini BlueRsp,1.0,1285
Med WaffBerr,4.79,1281
"12"" Plain",3.79,1277
Lg Pnapp Frt,2.69,1277
Med M&M Bl,4.29,1268
Dish,1.29,1266
Mini Coke,1.0,1252
Med Float,3.09,1244
Med Jolly Sl,2.49,1237
Med Opt Prim,2.29,1234
Med Mt Blast,2.19,1233
Sm ChzCk Shk,3.49,1227
Lg Banana Sh,4.59,1222
Lg Oreo Shk,4.99,1220
Sm Frz Lemoa,1.59,1206
Med Crm Sl,3.79,1204
Med Orange S,2.19,1201
$1Amer/RCC,-0.4,1188
Rt Green Tea,2.79,1185
Med Chry Crm,3.89,1181
Med Popping,2.49,1178
Sm Dr Pepper,1.19,1178
Med Btrfngr,4.29,1162
Med Lime Frt,2.29,1157
Sm Cup Ice,0.1,1157
Med Cranberr,2.19,1153
Sm Bl Coco S,1.19,1137
BLT,3.79,1135
